participant_id,story_shortname,story_setup,priorQ,speach,speachQ,knowledgeQ,access,observe
1,exams,Students in the introductory bio class almost always have passing grades on the exam.<br> Mark's 3 intro bio students took an exam yesterday.,How many of the 3 exams do you think have passing grades?,Mark tells you on the phone: 'I have looked at 2 of the 3 exams. 2 of the exams have passing grades.',Now how many of the 3 exams do you think have passing grades?,Do you think Mark knows exactly how many of the 3 exams have passing grades?,2,2
1,letters,Letters to Laura's company almost always have checks inside.<br> Today Laura received 3 letters.,How many of the 3 letters do you think have checks inside?,Laura tells you on the phone: 'I have looked at 3 of the 3 letters. 1 of the letters has checks inside.',Now how many of the 3 letters do you think have checks inside?,Do you think Laura knows exactly how many of the 3 letters have checks inside?,3,1
1,tickets,Tickets in the DoubleDay instant lottery almost always win.<br> Joe bought 3 DoubleDay tickets yesterday.,How many of the 3 tickets do you think have won?,Joe tells you on the phone: 'I have looked at 3 of the 3 tickets. 2 of the tickets have won.',Now how many of the 3 tickets do you think have won?,Do you think Joe knows exactly how many of the 3 tickets have won?,3,2
1,fruits,Mongines are small fruits that almost always have dried out pith inside.<br> Monica bought 3 mondrine fruits yesterday.,How many of the 3 fruits do you think have dried out pith?,Monica tells you on the phone: 'I have looked at 1 of the 3 fruits. 1 of the fruits has dried out pith.',Now how many of the 3 fruits do you think have dried out pith?,Do you think Monica knows exactly how many of the 3 fruits have dried out pith?,1,1
1,phones,Broken Sigo phones almost always have burned out transistors.<br> Ben must repair 3 broken Sigo phones.,How many of the 3 phones do you think have burned out transistors?,Ben tells you on the phone: 'I have looked at 2 of the 3 phones. 1 of the phones has burned out transistors.',Now how many of the 3 phones do you think have burned out transistors?,Do you think Ben knows exactly how many of the 3 phones have burned out transistors?,2,1
1,seeds,"Corendula seeds almost always sprout within a day when put into water.<br> Two days ago, botanist Jim put 3 Corendula seeds into water.",How many of the 3 seeds do you think have sprouted?,Jim tells you on the phone: 'I have looked at 3 of the 3 seeds. 3 of the seeds have sprouted.',Now how many of the 3 seeds do you think have sprouted?,Do you think Jim knows exactly how many of the 3 seeds have sprouted?,3,3
2,exams,Students in the introductory bio class almost always have passing grades on the exam.<br> Mark's 3 intro bio students took an exam yesterday.,How many of the 3 exams do you think have passing grades?,Mark tells you on the phone: 'I have looked at 3 of the 3 exams. 3 of the exams have passing grades.',Now how many of the 3 exams do you think have passing grades?,Do you think Mark knows exactly how many of the 3 exams have passing grades?,3,3
2,letters,Letters to Laura's company almost always have checks inside.<br> Today Laura received 3 letters.,How many of the 3 letters do you think have checks inside?,Laura tells you on the phone: 'I have looked at 3 of the 3 letters. 2 of the letters have checks inside.',Now how many of the 3 letters do you think have checks inside?,Do you think Laura knows exactly how many of the 3 letters have checks inside?,3,2
2,tickets,Tickets in the DoubleDay instant lottery almost always win.<br> Joe bought 3 DoubleDay tickets yesterday.,How many of the 3 tickets do you think have won?,Joe tells you on the phone: 'I have looked at 3 of the 3 tickets. 1 of the tickets has won.',Now how many of the 3 tickets do you think have won?,Do you think Joe knows exactly how many of the 3 tickets have won?,3,1
2,fruits,Mongines are small fruits that almost always have dried out pith inside.<br> Monica bought 3 mondrine fruits yesterday.,How many of the 3 fruits do you think have dried out pith?,Monica tells you on the phone: 'I have looked at 2 of the 3 fruits. 1 of the fruits has dried out pith.',Now how many of the 3 fruits do you think have dried out pith?,Do you think Monica knows exactly how many of the 3 fruits have dried out pith?,2,1
